brand,name,price,concentration,gender,scents,base_note,middle_note,Gender_encoded,scent_strength,price_normalized,notes_diversity,base_note_0,base_note_1,base_note_2,base_note_3,base_note_4,base_note_5,base_note_6,base_note_7,base_note_8,base_note_9,base_note_10,base_note_11,middle_note_0,middle_note_1,middle_note_2,middle_note_3,middle_note_4,middle_note_5,middle_note_6,middle_note_7,middle_note_8,middle_note_9,middle_note_10,middle_note_11
LACOSTE,Lacoste,98.95,EDP,Women,Floral,"Himalayan Cedar, Warm Woman Skin Accord, Sandal and Incense",Heliotrope and Jasmine In An Alliance with Hibiscus Blossom and Bulgarian Rose,0,2,0.10405780989438577,8,Himalayan Cedar,Warm Woman Skin Accord,Salwood,al,Incense,,,,,,,,Heliotrope,Jasmine In An Alliance with Hibiscus Blossom,Bulgarian Rose,,,,,,,,,
Sedr Al-Khaleej Perfumes,Love Touch,49.85,EDP,Women,Fresh,"Woody Leather, Musk","Tiare Flower, Rose",0,2,0.049471928849360754,4,Woody Leather,Musk,,,,,,,,,,,Tiare Flower,Rose,,,,,,,,,,
BURBERRY,My Burberry Blush,199.9,EDP,Women,Arabian,Jasmine and Wisteria,"Rose petals, Green apple and Geranium",0,2,0.21628682601445248,5,Jasmine,Wisteria,,,,,,,,,,,Rose petals,Green apple,Geranium,,,,,,,,,
Lattafa,Rouat Al Oud,44.25,EDP,Unisex,Spicy,"Cedarwood, Patchouli and Vetiver, Musk",Cardamom and Spicy Notes,2,2,0.043246247915508615,6,Cedarwood,Patchouli,Vetiver,Musk,,,,,,,,,Cardamom,Spicy Notes,,,,,,,,,,
LANVIN,Rumeur,71.0,EDP,Women,Floral,"Amber, Patchouli, Musk","Orange Blossom, Plum, Rose, Jasmine, Lily Of The Valley",0,2,0.07298499166203447,8,Amber,Patchouli,Musk,,,,,,,,,,Orange Blossom,Plum,Rose,Jasmine,Lily Of The Valley,,,,,,,
GUCCI,Oud,380.0,EDP,Women,Spicy,Natural Oud Oil And Patchouli,Bulgarian Rose And Orange Flower,0,2,0.41650917176209,2,Natural Oud Oil  Patchouli,,,,,,,,,,,,Bulgarian Rose  Orange Flower,,,,,,,,,,,
CHLOE,Love Story,237.0,EDP,Men,Floral,"Sandalwood, Amber, Musk, Vetiver and Brazilian Rosewood","Coriander, Lily, Orange Blossom, Juniper Berries, Basil, Jasmine, Sage, Lily-of-the-Valley and Geranium",1,2,0.25753196220122293,16,Salwood,Sandalwood,Amber,Musk,Vetiver,Brazilian Rosewood,,,,,,,Cori,er,Lily,Orange Blossom,Juniper Berries,Basil,Jasmine,Sage,Lily-of-the-Valley,Geranium,,
TED LAPIDUS,Rumba,58.0,EDT,Women,Floral,"Ambergris, vanilla, leather tonka bean, patchouli, musk, sandalwood, cedar, plum, styrax, oakmoss","Honey, jasmine, tuberose, carnation, heliotrope, magnolia, gardenia lily of the valley, orchid, marigold, rose",0,1,0.058532518065591996,21,Ambergris,vanilla,leather tonka bean,patchouli,musk,Salwood,Sandalwood,cedar,plum,styrax,oakmoss,,Honey,jasmine,tuberose,carnation,heliotrope,magnolia,gardenia lily of the valley,orchid,marigold,rose,,
AMOUAGE,Honour,710.95,EDP,Women,Spicy,"Patchouli, Cedar, Vetiver, Frankincense, Musk, Tonka Bean","Geranium, Elemi, Nutmeg",0,2,0.7844357976653696,9,Patchouli,Cedar,Vetiver,Frankincense,Musk,Tonka Bean,,,,,,,Geranium,Elemi,Nutmeg,,,,,,,,,
Jimmy Choo,jimmy,188.95,EDP,Women,Floral,"Coffee, patchouli",Orchid,0,2,0.20411339633129516,3,Coffee,patchouli,,,,,,,,,,,Orchid,,,,,,,,,,,
Rasasi,Blue,35.0,EDT,Men,Spicy,"Amber, Woody","Coriander, Geranium, Jasmine, Rose and Pepper",1,1,0.03296275708727071,8,Amber,Woody,,,,,,,,,,,Cori,er,Geranium,Jasmine,Rose,Pepper,,,,,,
Dunhill,Desire Silver,118.95,EDT,Men,Floral,"Birch, Vetiver, Amber","Water Notes, Violet Leaf, Cardamom",1,1,0.12629238465814344,6,Birch,Vetiver,Amber,,,,,,,,,,Water Notes,Violet Leaf,Cardamom,,,,,,,,,
Calvin Klein,Euphoria Amber Gold,166.0,EDP,Unisex,Arabian,"Lemon, Mint and Wood Moss",Sandalwood and Cedar,2,2,0.17859922178988327,6,Lemon,Mint,Wood Moss,,,,,,,,,,Salwood,Sandalwood,Cedar,,,,,,,,,
Britney Spears,Fantasy,89.95,EDP,Women,Floral,"Creamy Musk, Orris Root, Sensual Woods","Cupcakes, White Chocolate Orchid, Jasmine Petals",0,2,0.09405225125069484,6,Creamy Musk,Orris Root,Sensual Woods,,,,,,,,,,Cupcakes,White Chocolate Orchid,Jasmine Petals,,,,,,,,,
GUCCI,Guilty Absolute,299.85,EDP,Men,Woody,Woody Notes and Vetiver,Patchouli and Cypress,1,2,0.3274041133963313,4,Woody Notes,Vetiver,,,,,,,,,,,Patchouli,Cypress,,,,,,,,,,
joop,Homme,57.0,EDT,Men,Citrus,"Patchouli, sandalwood, tonka beans, vanilla","Cardamom, cinnamon, heliotrope, jasmine, lily of the valley",1,1,0.05742078932740411,10,Patchouli,Salwood,Sandalwood,tonka beans,vanilla,,,,,,,,Cardamom,cinnamon,heliotrope,jasmine,lily of the valley,,,,,,,
GUESS,Guess Pink,92.7,EDP,Women,Fruity,"Amber, Oakmoss And Cedar","Peony, Magnolia, Freesia, Peach, Jasmine, Ylang Ylang And Lily Of The Valley",0,2,0.09710950528071152,8,Amber,Oakmoss  Cedar,,,,,,,,,,,Peony,Magnolia,Freesia,Peach,Jasmine,Ylang Ylang  Lily Of The Valley,,,,,,
Calvin Klein,One Shock,104.7,EDT,Men,Spicy,"Vetiver, Sandalwood, Amber","Osmanthus, Black Pepper, Cardamom, Black Basil",1,1,0.1104502501389661,8,Vetiver,Salwood,Sandalwood,Amber,,,,,,,,,Osmanthus,Black Pepper,Cardamom,Black Basil,,,,,,,,
Lancome,Idol,299.0,EDP,Women,Floral,"White Musk, Vanilla","Turkish Rose, Rose De Mai Indian and Jasmine",0,2,0.32645914396887155,5,White Musk,Vanilla,,,,,,,,,,,Turkish Rose,Rose De Mai Indian,Jasmine,,,,,,,,,
Dolce & Gabbana,The Only One 2,137.9,EDP,Women,Floral,"Tonka, Patchouli, Ambergris, Amber Woods","Red Rose, Violet, Coffee",0,2,0.14735964424680378,7,Tonka,Patchouli,Ambergris,Amber Woods,,,,,,,,,Red Rose,Violet,Coffee,,,,,,,,,
CARTIER,Declaration,240.0,EDP,Men,Fruity,"Cedar, Leather, Amberwood, BenzoinTolu,  Balsam Vetiver","Cardamom, Spices, Cumin",1,2,0.26086714841578656,8,Cedar,Leather,Amberwood,BenzoinTolu,Balsam Vetiver,,,,,,,,Cardamom,Spices,Cumin,,,,,,,,,
Marbert,Man,51.95,EDT,Men,Woody,"Musk, Sandalwood, Patchouli, Oak Moss, Virginia Cedar, Amber and Leather","Geranium,Jasmine,Lily Of The Valley,Majorjam,Coriander,Nutmeg",1,1,0.05180655919955531,15,Musk,Salwood,Sandalwood,Patchouli,Oak Moss,Virginia Cedar,Amber,Leather,,,,,Geranium,Jasmine,Lily Of The Valley,Majorjam,Cori,er,Nutmeg,,,,,
Calvin Klein,One Shock,106.0,EDT,Men,Spicy,"Musk, Patchouli, Amber, and Tobacco","Black Pepper, Lively Black Basil and Resinous Cardamom",1,1,0.11189549749861034,8,Musk,Patchouli,Amber,,Tobacco,,,,,,,,Black Pepper,Lively Black Basil,Resinous Cardamom,,,,,,,,,
UNITED COLORS OF BENETTON,Cold Silver,29.35,EDT,Men,Fresh,"Silver Moss, Mineral Amber and Musk","Cardamom, Silver Sage and Driftwood",1,1,0.02668148971650917,6,Silver Moss,Mineral Amber,Musk,,,,,,,,,,Cardamom,Silver Sage,Driftwood,,,,,,,,,
Lancome,Miracle,242.0,EDP,Women,Arabian,"Amber, Musk, Jasmine","Magnolia, Ginger, Mandarin Orange, Pepper, Jasmine",0,2,0.2630906058921623,9,Amber,Musk,Jasmine,,,,,,,,,,Magnolia,Ginger,M,arin Orange,Pepper,Jasmine,,,,,,
CHOPARD,Rose Malaki,189.95,EDP,Women,Spicy,"Cedarwood, Patchouli and Vanilla","Rose Absolu, Rose Petal Accord and Smoky Leather",0,2,0.20522512506948304,6,Cedarwood,Patchouli,Vanilla,,,,,,,,,,Rose Absolu,Rose Petal Accord,Smoky Leather,,,,,,,,,
LACOSTE,Blanc Pour Homme,95.0,EDT,Men,Woody,"Leather, Suede And Cedar",Mexican Tuberose And Ylang-Ylang,1,1,0.09966648137854364,3,Leather,Suede  Cedar,,,,,,,,,,,Mexican Tuberose  Ylang-Ylang,,,,,,,,,,,
JAGUAR,Classic Red,64.95,EDT,Men,Fruity,"Patchouli, Cedar, Amber, Tonka, Vanilla","Jasmine, Pepper, Ozonic Notes",1,1,0.06625903279599778,8,Patchouli,Cedar,Amber,Tonka,Vanilla,,,,,,,,Jasmine,Pepper,Ozonic Notes,,,,,,,,,
Lancome,La Vie Est Belle,233.95,EDP,Women,Floral,"Patchouli, Tonka Bean, Vanilla, Praline","Iris, jasmine, Orange Blossom",0,2,0.25414118954974985,7,Patchouli,Tonka Bean,Vanilla,Praline,,,,,,,,,Iris,jasmine,Orange Blossom,,,,,,,,,
Givenchy,Dahlia Divin Nude,300.0,EDP,Women,Fresh,"Rose, Vanilla, Ginger","Pine, Cardamom, Lavender, Rosemary",0,2,0.3275708727070595,7,Rose,Vanilla,Ginger,,,,,,,,,,Pine,Cardamom,Lavender,Rosemary,,,,,,,,
Dolce & Gabbana,The One,190.0,EDT,Men,Spicy,"Ambery, Cedar wood","Cardamom, Ginger",1,1,0.20528071150639246,4,Ambery,Cedar wood,,,,,,,,,,,Cardamom,Ginger,,,,,,,,,,
UNITED COLORS OF BENETTON,United Colors Of Benetton Hot,28.0,EDT,Men,Woody,"Sandalwood, Amber, Musk, Vanilla, Oakmoss, Cedar","Apricot, Iris, Water Jasmine, Lily-Of-The-Valley",1,1,0.025180655919955528,11,Salwood,Sandalwood,Amber,Musk,Vanilla,Oakmoss,Cedar,,,,,,Apricot,Iris,Water Jasmine,Lily-Of-The-Valley,,,,,,,,
UNITED COLORS OF BENETTON,Cold,27.2,EDT,Men,Spicy,"Patchouli, Vetiver and White Musk","Coriander, Lavender and Geranium",1,1,0.024291272929405226,7,Patchouli,Vetiver,White Musk,,,,,,,,,,Cori,er,Lavender,Geranium,,,,,,,,
CAROLINA HERRERA,Ch Men Sports,115.0,EDT,Men,Woody,"Sandalwood, Oak Moss And Vetiver",Sea Notes Mixed With Spices And Aromatic Accords – Sichuan Pepper And Juniper Berries,1,1,0.12190105614230129,4,Salwood,Sandalwood,Oak Moss  Vetiver,,,,,,,,,,Sea Notes Mixed With Spices  Aromatic Accords – Sichuan Pepper  Juniper Berries,,,,,,,,,,,
CHLOE,Nomade,290.1,EDP,Women,Floral,"Oakmoss, Amberwood, Patchoulli, Sandalwood, White Musk","Freesia, Jasmine, Rose, Peach",0,2,0.31656475819899943,10,Oakmoss,Amberwood,Patchoulli,Salwood,Sandalwood,White Musk,,,,,,,Freesia,Jasmine,Rose,Peach,,,,,,,,
EMPORIO ARMANI,Stronger With You,154.8,EDT,Unisex,Floral,"Chestnut, vanilla, musk",Sage,2,1,0.166147859922179,4,Chestnut,vanilla,musk,,,,,,,,,,Sage,,,,,,,,,,,
Mancera,Cedrat Boise,253.0,EDP,Unisex,"Aromatic,Citrus","Leather,Oakmoss,Vanilla,Woody Notes",Patchouli Leaves,2,2,0.27531962201222904,5,Leather,Oakmoss,Vanilla,Woody Notes,,,,,,,,,Patchouli Leaves,,,,,,,,,,,
Dunhill,Edition,108.45,EDT,Men,Spicy,"Vetiver, Sandalwood, Cedar And Tonka Bean","Carnation, Geranium, Jasmine And Clary Sage",1,1,0.11461923290717066,7,Vetiver,Salwood,Sandalwood,Cedar  Tonka Bean,,,,,,,,,Carnation,Geranium,Jasmine  Clary Sage,,,,,,,,,
CARTIER,Pasha Edition Noir,198.55,EDT,Men,Oriental,Woody Amber And Cedar Accords,Warm And Cuddly Aromas,1,1,0.21478599221789885,2,Woody Amber  Cedar Accords,,,,,,,,,,,,Warm  Cuddly Aromas,,,,,,,,,,,
Givenchy,Blue Label,143.85,EDT,Men,Spicy,"Cedar, Olibanum and Vetiver","Cardamom, Lavender and Pepper",1,1,0.1539744302390217,6,Cedar,Olibanum,Vetiver,,,,,,,,,,Cardamom,Lavender,Pepper,,,,,,,,,
Dior,Joy,360.0,EDP,Women,Woody,"Sandalwood, Cedar Wood, Vanilla, Caramel Musk, Woody Accords","Jasmine, Rose, Muget, Freesia, Cinnamon",0,2,0.3942745969983324,11,Salwood,Sandalwood,Cedar Wood,Vanilla,Caramel Musk,Woody Accords,,,,,,,Jasmine,Rose,Muget,Freesia,Cinnamon,,,,,,,
LALIQUE,Encre Noire,136.0,EDT,Men,Woody,"Musk, Cashmere Wood",Haitian and Bourbon Vetiver,1,1,0.14524735964424682,4,Musk,Cashmere Wood,,,,,,,,,,,Haitian,Bourbon Vetiver,,,,,,,,,,
Calvin Klein,CK One,98.0,EDT,Unisex,Citrus,"Sandalwood, Amber, Musk, Cedar, Oakmoss, Green Tea And Green Accord","Nutmeg, Violet, Orris Root, Lily-of-the-valley, Rose, Freesia, And Jasmine",2,1,0.10300166759310729,14,Salwood,Sandalwood,Amber,Musk,Cedar,Oakmoss,Green Tea  Green Accord,,,,,,Nutmeg,Violet,Orris Root,Lily-of-the-valley,Rose,Freesia,Jasmine,,,,,
PACO RABANNE,Black XS,310.0,EDT,Men,Woody,Black Amber And Patchouli,Praline And Cinnamon,1,1,0.33868816008893826,2,Black Amber  Patchouli,,,,,,,,,,,,Praline  Cinnamon,,,,,,,,,,,
AZZARO,Pour Homme,133.0,EDT,Men,Woody,"Leather, tonka bean, amber, musk, oakmoss","Sandalwood, juniper berries, patchouli, vetiver, cedar, cardamom",1,1,0.14191217342968315,12,Leather,tonka bean,amber,musk,oakmoss,,,,,,,,Salwood,Sandalwood,juniper berries,patchouli,vetiver,cedar,cardamom,,,,,
CERRUTI 1881,Cerruti,117.0,EDT,Men,Floral,"Musk, Sandalwood, Patchouli, Oakmoss, Cedar, Pepper And Pine Tree","Vetiver, Ylang-ylang, Rose, Lily-of-the-valley And Cassia",1,1,0.12412451361867705,11,Musk,Salwood,Sandalwood,Patchouli,Oakmoss,Cedar,Pepper  Pine Tree,,,,,,Vetiver,Ylang-ylang,Rose,Lily-of-the-valley  Cassia,,,,,,,,
Rasasi,Relation,55.0,EDP,Women,Fresh,Musk and Vanilla,"Bulgarian Rose, Lilac and Jasmine",0,2,0.05519733185102835,5,Musk,Vanilla,,,,,,,,,,,Bulgarian Rose,Lilac,Jasmine,,,,,,,,,
ESCADA,Magnetism,138.95,EDP,Women,Arabian,"Sandalwood, Amber, Patchouli, Musk, Benzoin, Caramel, Vetiver and Vanilla","Magnolia, Iris, Green Leaves, Freesia, Basil, Jasmine, Caraway, Heliotrope, Lily-Of-The-Valley, Rose and Almond Blossom",0,2,0.14852695942190106,20,Salwood,Sandalwood,Amber,Patchouli,Musk,Benzoin,Caramel,Vetiver,Vanilla,,,,Magnolia,Iris,Green Leaves,Freesia,Basil,Jasmine,Caraway,Heliotrope,Lily-Of-The-Valley,Rose,Almond Blossom,
BOUCHERON,Pour Homme,165.7,EDP,Men,Woody,Patchouli and Sandalwood,Coriander and Basil,1,2,0.1782657031684269,6,Patchouli,Salwood,Sandalwood,,,,,,,,,,Cori,er,Basil,,,,,,,,,
DORALL COLLECTION,Eventful,8.3,EDT,Women,Woody,Musk,"Rose, Ylang - Ylang",0,1,0.0032795997776542537,3,Musk,,,,,,,,,,,,Rose,Ylang - Ylang,,,,,,,,,,
Yves Saint Laurent,Body Kouros,229.35,EDT,Men,Woody,Benzoin,"Cedar, Sage",1,1,0.2490272373540856,3,Benzoin,,,,,,,,,,,,Cedar,Sage,,,,,,,,,,
VERSACE,L'Homme,145.0,EDT,Men,Citrus,"Amber,Labdanum,Leather,Musk,Tonka Beans,Vanilla","Carnation,Cedar,Cinnamon,Jasmine,Patchouli,Rose,Sandalwood",1,1,0.15525291828793775,14,Amber,Labdanum,Leather,Musk,Tonka Beans,Vanilla,,,,,,,Carnation,Cedar,Cinnamon,Jasmine,Patchouli,Rose,Salwood,Sandalwood,,,,
ESCADA,Magnetism,139.4,EDP,Women,Arabian,"Sandalwood, Amber, Patchouli, Musk, Benzoin, Caramel, Vetiver, Vanilla","Magnolia, Iris, Green Leaves, Freesia, Basil, Jasmine, Caraway, Heliotrope, Lily-of-the-valley, Rose",0,2,0.14902723735408563,19,Salwood,Sandalwood,Amber,Patchouli,Musk,Benzoin,Caramel,Vetiver,Vanilla,,,,Magnolia,Iris,Green Leaves,Freesia,Basil,Jasmine,Caraway,Heliotrope,Lily-of-the-valley,Rose,,
DAVIDOFF,Cool Water,76.95,EDT,Men,Woody,"Amber, Cedar, Musk, Oakmoss, Tobacco","Geranium, Jasmine, Neroli, Sandalwood",1,1,0.07959977765425237,10,Amber,Cedar,Musk,Oakmoss,Tobacco,,,,,,,,Geranium,Jasmine,Neroli,Salwood,Sandalwood,,,,,,,
joop,Go,103.95,EDT,Men,Fresh,Musk and Balsam Fir,"Cypress, Violet and Bourbon Geranium",1,1,0.1096164535853252,5,Musk,Balsam Fir,,,,,,,,,,,Cypress,Violet,Bourbon Geranium,,,,,,,,,
Jacques Bogart,Silver Scent,55.0,EDT,Men,Arabian,"Vetiver, Litchi, Tonka Bean and Teak Wood","Cardamom, Rosemary, Nutmeg, Lavender, Coriander and Geranium",1,1,0.05519733185102835,11,Vetiver,Litchi,Tonka Bean,Teak Wood,,,,,,,,,Cardamom,Rosemary,Nutmeg,Lavender,Cori,er,Geranium,,,,,
Paris Hilton,Fairy Dust,94.0,EDP,Women,Floral,"Vanilla, Musk, Pacsuli","Peach,gardenia,lotus",0,2,0.09855475264035576,6,Vanilla,Musk,Pacsuli,,,,,,,,,,Peach,gardenia,lotus,,,,,,,,,
PRIVE,Windsor,29.95,EDP,Women,Fruity,"Vanilla, Blackberry, Amber","Jasmine, Magnalio, Orange Bloosm",0,2,0.0273485269594219,6,Vanilla,Blackberry,Amber,,,,,,,,,,Jasmine,Magnalio,Orange Bloosm,,,,,,,,,
NARCISO RODRIGUEZ,Narciso,284.95,EDP,Women,Floral,"Vetiver, White Cedar Extract and Cedar","Musk, Gardenia, White Rose",0,2,0.3108393551973318,6,Vetiver,White Cedar Extract,Cedar,,,,,,,,,,Musk,Gardenia,White Rose,,,,,,,,,
Jimmy Choo,jimmy,185.0,EDT,Men,Fruity,"Amber, Patchouli, Suede","Geranium, Pineapple Leaf, Pink Pepper",1,1,0.19972206781545304,6,Amber,Patchouli,Suede,,,,,,,,,,Geranium,Pineapple Leaf,Pink Pepper,,,,,,,,,
MONTBLANC,Explorer,9.5,EDP,Men,Woody,"Vetiver, Leather, Cedarwood","Patchouli, Mahonial, Ambrofix",1,2,0.004613674263479711,6,Vetiver,Leather,Cedarwood,,,,,,,,,,Patchouli,Mahonial,Ambrofix,,,,,,,,,
Calvin Klein,Euphoria,127.25,EDP,Men,Woody,"Black Violet, Liquid Amber, Mahogany, Cream Accords","Black Orchid, Champaca Flower",1,2,0.13551973318510285,6,Black Violet,Liquid Amber,Mahogany,Cream Accords,,,,,,,,,Black Orchid,Champaca Flower,,,,,,,,,,
Ferrari,Man In Red,119.9,EDT,Men,Fruity,"Cedar, Tonka Bean and Labdanum","Lavender, Yellow Plum and Orange Blossom",1,1,0.12734852695942192,6,Cedar,Tonka Bean,Labdanum,,,,,,,,,,Lavender,Yellow Plum,Orange Blossom,,,,,,,,,
Yves Saint Laurent,Cinema,192.5,EDP,Women,Floral,"Vanilla, Amber, Benzoin, White Musk","Jasmine, Peony, Amaryllis",0,2,0.20806003335186216,7,Vanilla,Amber,Benzoin,White Musk,,,,,,,,,Jasmine,Peony,Amaryllis,,,,,,,,,
Ferrari,Scuderia Red,96.65,EDT,Men,Fruity,"Cedar, Sandalwood, Moss And Vanilla","Jasmine, Geranium, Orris And Nutmeg",1,1,0.10150083379655366,7,Cedar,Salwood,Sandalwood,Moss  Vanilla,,,,,,,,,Jasmine,Geranium,Orris  Nutmeg,,,,,,,,,
Jacomo,Silences,143.95,EDP,Women,Floral,"Woody,musky","Danmask Rose,iris,narcissus",0,2,0.15408560311284045,5,Woody,musky,,,,,,,,,,,Danmask Rose,iris,narcissus,,,,,,,,,
jil sander,Jil Sander,175.0,EDT,Men,Spicy,"Oakmoss, Cedar, Nutmeg, Woody Notes","Carnation, Geranium, Cinnamon, Patchouli",1,1,0.1886047804335742,8,Oakmoss,Cedar,Nutmeg,Woody Notes,,,,,,,,,Carnation,Geranium,Cinnamon,Patchouli,,,,,,,,
AMOUAGE,Interlude,716.8,EDP,Men,Fresh,"Leather, Agarwood Smoke, Patchouli, Sandalwood","Amber, Frankincense, Opoponax, Cistus, Myrrh",1,2,0.7909394107837687,10,Leather,Agarwood Smoke,Patchouli,Salwood,Sandalwood,,,,,,,,Amber,Frankincense,Opoponax,Cistus,Myrrh,,,,,,,
GUESS,Marciano,108.95,EDP,Women,Floral,"Powdery Vanilla, Musk And Woody Accord","Floral Rhythm Of Peony, Pink Honeysuckle And Intensively Clean And Sweet Jasmine",0,2,0.1151750972762646,4,Powdery Vanilla,Musk  Woody Accord,,,,,,,,,,,Floral Rhythm Of Peony,Pink Honeysuckle  Intensively Clean  Sweet Jasmine,,,,,,,,,,
Alina Corel,Nice Girl,28.45,EDP,Women,Fruity,"Amber, Vanilla, Musk","Jasmine, Tuberose",0,2,0.02568093385214008,5,Amber,Vanilla,Musk,,,,,,,,,,Jasmine,Tuberose,,,,,,,,,,
HUGO BOSS,Hugo Boss,95.0,EDT,Men,Fresh,"Patchouli, Fir, Cedar","Carnation, Sage, Geranium, Jasmine",1,1,0.09966648137854364,7,Patchouli,Fir,Cedar,,,,,,,,,,Carnation,Sage,Geranium,Jasmine,,,,,,,,
MINI COLLECTION,Mini Collection No.1075,10.0,EDP,Unisex,Musk,wood,vanilla,2,2,0.005169538632573653,2,wood,,,,,,,,,,,,vanilla,,,,,,,,,,,
Ajmal,Rain Drops,49.9,EDP,Women,Floral,Ambery Woody,Animalistic Floral,0,2,0.04952751528627015,2,Ambery Woody,,,,,,,,,,,,Animalistic Floral,,,,,,,,,,,
HUGO BOSS,Hugo,115.0,EDT,Men,Aromatic,"Cedar Wood, Fir, Patchouli","Carnation, Geranium, Jasmine, Sage",1,1,0.12190105614230129,7,Cedar Wood,Fir,Patchouli,,,,,,,,,,Carnation,Geranium,Jasmine,Sage,,,,,,,,
Calvin Klein,One Shock,102.0,EDT,Men,Spicy,"Amber, Patchouli, Woodsy Notes, Musk","Cardamom, Pepper, Basil, Osmanthus",1,1,0.10744858254585882,8,Amber,Patchouli,Woodsy Notes,Musk,,,,,,,,,Cardamom,Pepper,Basil,Osmanthus,,,,,,,,
CHANEL,Allure Sensuelle,480.6,EDP,Women,Arabian,"Amber, Patchouli, Vanilla And Musk","Jasmine, Rose, Iris, Candied Fruits And Vetiver",0,2,0.528349082823791,8,Amber,Patchouli,Vanilla  Musk,,,,,,,,,,Jasmine,Rose,Iris,C,ied Fruits  Vetiver,,,,,,,
GIORGIO ARMANI,Eau De Cedre,470.0,EDT,Men,Woody,"Suede, Cedar Essence, Black Tea, Woody Notes","Violet Leaf, Cardamom and Cumin",1,1,0.5165647581989994,7,Suede,Cedar Essence,Black Tea,Woody Notes,,,,,,,,,Violet Leaf,Cardamom,Cumin,,,,,,,,,
Mancera,Red Tobacco,340.0,EDP,Men,Woody,"Precious Tobacco, Amber, Woody Notes, Vetiver, Vanilla Pods and White Musk","Patchouli Leaves, Jasmine",1,2,0.3720400222345747,8,Precious Tobacco,Amber,Woody Notes,Vetiver,Vanilla Pods,White Musk,,,,,,,Patchouli Leaves,Jasmine,,,,,,,,,,
Jean Paul GAULTIER,Scandal,350.0,EDP,Women,Floral,"Sandalwood, Caramel, Beeswax, Patchouli","Honey, Peach, Orange Blossom, Jasmine, Gardenia",0,2,0.38315730961645356,10,Salwood,Sandalwood,Caramel,Beeswax,Patchouli,,,,,,,,Honey,Peach,Orange Blossom,Jasmine,Gardenia,,,,,,,
Jimmy Choo,Man Ice,204.9,EDT,Men,Woody,"Musk, moss, ambroxan","Vetiver, patchouli, cedar, apple",1,1,0.2218454697053919,7,Musk,moss,ambroxan,,,,,,,,,,Vetiver,patchouli,cedar,apple,,,,,,,,
HUGO BOSS,Deep Red,179.8,EDP,Women,Oriental,"Sandalwood, California Cedar, Vanilla, Musk","Freesia, Ginger, Ginger Flower, Hibiscus Seed, Freesia, Tuberose",0,2,0.19394107837687607,11,Salwood,Sandalwood,California Cedar,Vanilla,Musk,,,,,,,,Freesia,Ginger,Ginger Flower,Hibiscus Seed,Freesia,Tuberose,,,,,,
Calvin Klein,Escape,94.95,EDP,Women,Oriental,"Vanilla, Musk, Cedar, Sandalwood, Oakmoss, Amber, Vetiver","Carnation, Rose, Peach, Lily of the Valley, Jasmine, Cloves",0,2,0.09961089494163425,14,Vanilla,Musk,Cedar,Salwood,Sandalwood,Oakmoss,Amber,Vetiver,,,,,Carnation,Rose,Peach,Lily of the Valley,Jasmine,Cloves,,,,,,
DORALL COLLECTION,Dionysus,10.6,EDT,Men,Floral,"Aromatic Cedarwood, Tonka, Amber And Vetiver","Ozonic Tones With Geranium, Violet, Cool Eucalyptus And Crisp Green Apple",1,1,0.005836575875486381,6,Aromatic Cedarwood,Tonka,Amber  Vetiver,,,,,,,,,,Ozonic Tones With Geranium,Violet,Cool Eucalyptus  Crisp Green Apple,,,,,,,,,
Genie,1029 Collection,17.8,EDP,Women,Fruity,"Vegetal Amber, Musk And Mahogany","Magnolia, Lotus And Peony",0,2,0.013841022790439134,4,Vegetal Amber,Musk  Mahogany,,,,,,,,,,,Magnolia,Lotus  Peony,,,,,,,,,,
Lancome,La Vie Est Belle,217.0,EDP,Women,Vanilla,"Patchouli, Praline, Tonka Beans, Vanilla","Iris, Jasmine, Orange Tree Blossom",0,2,0.23529738743746526,7,Patchouli,Praline,Tonka Beans,Vanilla,,,,,,,,,Iris,Jasmine,Orange Tree Blossom,,,,,,,,,
ANGEL SCHLESSER,Essential,83.7,EDP,Women,Clean,"Sandalwood, Musk, Vetiver And Cedar","Peony, Violet, Freesia And Bulgarian Rose",0,2,0.08710394663702058,7,Salwood,Sandalwood,Musk,Vetiver  Cedar,,,,,,,,,Peony,Violet,Freesia  Bulgarian Rose,,,,,,,,,
VERSACE,Oud Noir,260.0,EDP,Men,Woody,"Agarwood, Patchouli, Leatherwood","Cardamom, Saffron, Olibanum",1,2,0.2831017231795442,6,Agarwood,Patchouli,Leatherwood,,,,,,,,,,Cardamom,Saffron,Olibanum,,,,,,,,,
Roberto Cavalli,cavalli,110.0,EDP,Women,Arabian,"Benzoin, Tonka Bean, Vanilla",African Orange Flower,0,2,0.11634241245136187,4,Benzoin,Tonka Bean,Vanilla,,,,,,,,,,African Orange Flower,,,,,,,,,,,
CAROLINA HERRERA,212 VIP,258.7,EDT,Men,Vanilla,"King Wood, Salty Amber and Tonka Beans","Chilled Vodka, Hot Ginger and Slice Of Apple",1,1,0.28165647581989994,6,King Wood,Salty Amber,Tonka Beans,,,,,,,,,,Chilled Vodka,Hot Ginger,Slice Of Apple,,,,,,,,,
CAROLINA HERRERA,Prive,140.0,EDT,Men,Aromatic,"Leather, Benzoin and Tonka",Luxurious Notes of Whiskey,1,1,0.14969427459699833,4,Leather,Benzoin,Tonka,,,,,,,,,,Luxurious Notes of Whiskey,,,,,,,,,,,
